"Through a combination of regularly scheduled technical systems audits of non-EPA laboratories processing state PM2.5 monitoring data and additional assessments of data quality, EPA has identified data quality issues that affect Florida, Illinois, most of Tennessee and parts of Kentucky. EPA has made a preliminary determination that this data should not be used for regulatory purposes. Until a final determination has been made, EPA has moved the data in the Air Quality System database for the PM2.5 sites in question from parameter code 88101 (PM2.5 at local conditions; used for regulatory data) to parameter code 88501 (PM2.5 raw data). This change will clarify to data users that data from these sites should not be compared to the PM2.5 National Ambient Air Quality Standards until EPA has made a final validity determination. This data is not included in the PM2.5 trends assessment or this summary table.",Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
Air Quality Trends by City 2000-2020,,,,,,,,,,,,,,,,,,,,,,,,,
"Note:  The values shown are the composite averages among the trend sites in each area.  Data from exceptional events are included.  These trends are based on sites having an adequate record of monitoring data during the trend period.  Based on data from AQS as of May 5, 2021.  ",,,,,,,,,,,,,,,,,,,,,,,,,
CBSA,Core Based Statistical Area,Pollutant,Trend Statistic,Number of Trends Sites,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
17460,,PM2.5,98th Percentile,7,40.0,42.0,38.0,39.0,36.0,45.0,31.0,37.0,34.0,25.0,28.0,25.0,24.0,24.0,25.0,24.0,18.0,21.0,22.0,21.0,20.0
17460,,SO2,99th Percentile,5,71.0,64.0,53.0,66.0,55.0,75.0,77.0,70.0,57.0,49.0,49.0,56.0,79.0,43.0,50.0,83.0,98.0,21.0,19.0,13.0,13.0
17540,"Clinton, IA",O3,4th Max,1,0.077,0.079,0.08,0.075,0.066,0.078,0.065,0.074,0.063,0.064,0.064,0.066,0.076,0.062,0.065,0.061,0.063,0.062,0.067,0.05800000000000002,0.062
17540,,PM2.5,Weighted Annual Mean,1,12.0,12.5,11.8,12.4,11.3,13.9,11.9,12.1,11.0,11.0,11.9,10.5,9.7,9.5,9.3,9.1,7.7,7.2,8.2,8.2,7.8
17540,,PM2.5,98th Percentile,1,29.0,33.0,29.0,34.0,35.0,40.0,27.0,30.0,28.0,27.0,34.0,26.0,23.0,23.0,25.0,23.0,18.0,18.0,20.0,23.0,21.0
17540,,SO2,99th Percentile,1,82.0,36.0,24.0,30.0,29.0,53.0,50.0,42.0,29.0,44.0,31.0,18.0,60.0,35.0,22.0,33.0,31.0,16.0,25.0,15.0,19.0
17820,"Colorado Springs, CO",O3,4th Max,1,0.072,0.07000000000000002,0.072,0.077,0.07000000000000002,0.077,0.072,0.072,0.07000000000000002,0.06,0.068,0.074,0.075,0.074,0.064,0.067,0.069,0.069,0.073,0.065,0.079
17900,"Columbia, SC",O3,4th Max,3,0.087,0.084,0.08599999999999998,0.077,0.077,0.08200000000000002,0.077,0.077,0.076,0.063,0.069,0.073,0.062,0.05600000000000001,0.05899999999999998,0.05800000000000002,0.064,0.05800000000000002,0.05899999999999998,0.063,0.053000000000000005
17900,,PM2.5,Weighted Annual Mean,2,15.9,13.6,13.1,12.6,14.0,14.6,14.7,13.3,12.2,11.1,11.2,11.1,9.3,8.9,9.5,8.5,8.8,8.1,7.5,7.4,6.9
17900,,PM2.5,98th Percentile,2,32.0,25.0,30.0,30.0,34.0,35.0,30.0,29.0,23.0,22.0,23.0,24.0,17.0,19.0,18.0,17.0,20.0,16.0,16.0,15.0,17.0
17980,"Columbus, GA-AL",O3,4th Max,1,0.087,0.073,0.079,0.07000000000000002,0.068,0.078,0.08,0.083,0.073,0.065,0.068,0.068,0.066,0.06,0.061,0.062,0.065,0.05800000000000002,0.05899999999999998,0.063,0.053000000000000005
17980,,PM2.5,Weighted Annual Mean,2,18.1,15.6,14.0,13.8,14.6,14.2,15.1,15.1,13.2,11.1,13.8,11.9,10.6,9.7,10.1,9.1,9.3,9.5,8.3,8.8,8.5
17980,,PM2.5,98th Percentile,2,41.0,40.0,31.0,31.0,37.0,29.0,28.0,37.0,30.0,23.0,28.0,25.0,26.0,23.0,19.0,19.0,26.0,27.0,23.0,19.0,21.0
18140,"Columbus, OH",CO,2nd Max,1,2.8,2.6,2.5,3.0,2.6,2.0,2.1,1.6,1.6,1.5,1.7,1.5,1.6,1.0,1.3,1.5,1.8,1.6,1.2,0.8,0.8
18140,,O3,4th Max,5,0.08599999999999998,0.085,0.098,0.08799999999999998,0.075,0.084,0.076,0.08100000000000002,0.074,0.07000000000000002,0.074,0.078,0.078,0.068,0.068,0.068,0.069,0.065,0.065,0.063,0.063
18140,,PM10,2nd Max,1,73.0,68.0,77.0,76.0,77.0,85.0,55.0,76.0,79.0,49.0,126.0,71.0,62.0,41.0,46.0,51.0,52.0,50.0,47.0,47.0,47.0
18140,,PM2.5,Weighted Annual Mean,1,18.2,16.8,16.2,14.9,13.6,14.6,13.8,13.1,11.0,10.8,11.9,10.9,10.1,9.8,10.3,9.8,8.0,8.2,8.5,8.7,8.7
18140,,PM2.5,98th Percentile,1,37.0,41.0,39.0,34.0,34.0,35.0,34.0,34.0,25.0,26.0,29.0,21.0,21.0,24.0,24.0,22.0,17.0,19.0,20.0,22.0,22.0
18500,"Corning, NY",PM2.5,Weighted Annual Mean,1,9.1,10.2,10.4,9.5,8.9,9.8,8.2,8.1,8.0,6.9,7.2,7.0,6.8,5.7,5.6,5.7,4.6,4.6,4.8,5.6,5.2
18500,,PM2.5,98th Percentile,1,27.0,29.0,37.0,26.0,29.0,29.0,26.0,27.0,22.0,18.0,21.0,20.0,19.0,15.0,15.0,15.0,11.0,11.0,14.0,13.0,12.0
18580,"Corpus Christi, TX",O3,4th Max,2,0.08200000000000002,0.075,0.08100000000000002,0.08,0.074,0.068,0.07000000000000002,0.069,0.072,0.066,0.073,0.077,0.067,0.066,0.066,0.064,0.062,0.061,0.061,0.06,0.063
18580,,PM2.5,Weighted Annual Mean,1,10.6,10.6,9.8,10.5,8.9,10.9,11.0,10.7,10.6,10.1,10.3,10.3,10.6,9.7,10.1,10.5,9.1,8.5,9.8,8.7,8.0
18580,,PM2.5,98th Percentile,1,20.0,20.0,23.0,27.0,18.0,32.0,30.0,29.0,24.0,25.0,24.0,24.0,41.0,29.0,24.0,26.0,25.0,22.0,28.0,21.0,27.0
18580,,SO2,99th Percentile,2,29.0,27.0,20.0,29.0,26.0,22.0,15.0,12.0,17.0,10.0,12.0,9.0,5.0,4.0,4.0,3.0,3.0,4.0,4.0,6.0,3.0
19000,"Cullowhee, NC",O3,4th Max,1,0.083,0.079,0.08200000000000002,0.079,0.069,0.075,0.08,0.08,0.072,0.063,0.069,0.068,0.069,0.067,0.068,0.065,0.069,0.064,0.065,0.065,0.065
19000,,PM2.5,Weighted Annual Mean,1,14.0,14.0,13.1,11.7,11.1,12.9,11.8,12.6,10.2,8.5,10.2,9.5,8.0,7.4,7.4,7.3,10.0,6.8,6.6,6.4,6.2
19000,,PM2.5,98th Percentile,1,37.0,37.0,28.0,28.0,22.0,26.0,25.0,29.0,24.0,16.0,20.0,20.0,14.0,14.0,16.0,15.0,55.0,12.0,16.0,13.0,14.0
19100,"Dallas-Fort Worth-Arlington, TX",NO2,Annual Mean,8,12.0,12.0,12.0,12.0,11.0,12.0,11.0,11.0,10.0,8.0,9.0,8.0,8.0,7.0,7.0,6.0,6.0,6.0,6.0,6.0,6.0
19100,,NO2,98th Percentile,6,50.0,49.0,47.0,46.0,44.0,46.0,45.0,42.0,42.0,39.0,41.0,42.0,41.0,39.0,37.0,38.0,36.0,35.0,37.0,37.0,37.0
19100,,O3,4th Max,15,0.09,0.08899999999999998,0.092,0.08799999999999998,0.087,0.092,0.08899999999999998,0.08100000000000002,0.077,0.08,0.076,0.084,0.08200000000000002,0.077,0.071,0.076,0.067,0.07000000000000002,0.077,0.069,0.069
19100,,PM10,2nd Max,1,50.0,50.0,50.0,56.0,38.0,43.0,34.0,43.0,34.0,37.0,44.0,45.0,63.0,63.0,55.0,43.0,45.0,32.0,40.0,40.0,40.0
19100,,PM2.5,Weighted Annual Mean,4,12.7,12.7,12.7,13.0,12.1,12.7,11.0,11.6,10.7,10.0,10.3,10.8,10.4,10.3,10.0,9.2,8.1,8.7,9.0,8.8,8.9
19100,,PM2.5,98th Percentile,4,28.0,30.0,34.0,31.0,26.0,27.0,23.0,24.0,26.0,20.0,20.0,22.0,21.0,25.0,21.0,18.0,17.0,17.0,22.0,18.0,21.0
19100,,SO2,99th Percentile,2,91.0,89.0,31.0,40.0,46.0,53.0,60.0,56.0,36.0,15.0,16.0,12.0,13.0,16.0,12.0,6.0,6.0,8.0,7.0,5.0,7.0
19140,"Dalton, GA",O3,4th Max,1,0.09,0.08,0.092,0.085,0.074,0.08,0.075,0.08200000000000002,0.076,0.069,0.073,0.073,0.07000000000000002,0.062,0.067,0.063,0.067,0.065,0.064,0.067,0.05700000000000001
